SIMULACION PARA EL MODELO - REPLICA #1

Tiempo_t		N(t)	r_llegada	ste_llegas	r_servicio 	st_servicio		s_llegada	s_salida	s_evento
0.0000			0		0.7219		4.8889		-------		-------			4.8889		-------		Llegada
4.8889			1		0.6099		7.4173		0.0516		38.5459			12.3062		43.4348		Llegada
12.3062			2		0.6764		5.8651		0.5598		7.5420			18.1713		19.8482		Llegada
18.1713			3		0.5914		7.8799		0.9552		0.5961			26.0512		18.7674		Salida
18.7674			2		-------		-------		-------		-------			26.0512		19.8482		Salida
19.8482			1		-------		-------		-------		-------			26.0512		43.4348		Llegada
26.0512			2		0.6893		5.5816		0.2277		19.2348			31.6328		43.4348		Llegada
31.6328			3		0.8977		1.6184		0.0214		49.9914			33.2512		43.4348		Llegada
33.2512			4		0.9497		0.7738		0.4547		10.2467			34.0250		43.4348		Llegada
34.0250			5		0.9730		0.4110		-------		-------			34.4360		43.4348		Llegada
34.4360			6		0.7103		5.1316		-------		-------			39.5675		43.4348		Llegada
39.5675			7		0.0157		62.2668		-------		-------			101.8343	43.4348	Salida
43.4348			6		-------		-------		0.6340		5.9251			101.8343	43.4348	Salida
43.4348			5		-------		-------		0.5507		7.7554			101.8343	43.4348	Salida
43.4348			4		-------		-------		0.4470		10.4666			101.8343	43.4979	Salida
43.4979			3		-------		-------		-------		-------			101.8343	45.2860	Salida
45.2860			2		-------		-------		-------		-------			101.8343	53.9014	Salida
53.9014			1		-------		-------		-------		-------			101.8343	81.6242	Salida
81.6242			0		-------		-------		-------		-------			101.8343	-------		Llegada
101.8343		1		0.7270		4.7824		0.4656		9.9365			106.6167	111.7708	Llegada
106.6167		2		0.6795		5.7955		0.1244		27.0925			112.4123	111.7708	Salida
111.7708		1		-------		-------		-------		-------			112.4123	133.7092	Llegada
112.4123		2		0.5867		7.9995		0.9106		1.2180			120.4118	113.6302	Salida
113.6302		1		-------		-------		-------		-------			120.4118	133.7092	Llegada
120.4118		2		0.9628		0.5680		0.8908		1.5035			120.9798	121.9153	Llegada
120.9798		3		0.4873		10.7822		0.7331		4.0354			131.7619	121.9153	Salida
121.9153		2		-------		-------		-------		-------			131.7619	125.0151	Salida
125.0151		1		-------		-------		-------		-------			131.7619	133.7092	Llegada
131.7619		2		0.3152		17.3188		0.1286		26.6624			149.0807	133.7092	Salida
133.7092		1		-------		-------		-------		-------			149.0807	158.4243	Llegada
149.0807		2		0.4550		11.8118		0.9251		1.0125			160.8925	150.0933	Salida
150.0933		1		-------		-------		-------		-------			160.8925	158.4243	Salida
158.4243		0		-------		-------		-------		-------			160.8925	-------		Llegada
160.8925		1		0.1802		25.7079		0.1314		26.3857			186.6004	187.2782	Llegada
186.6004		2		0.4849		10.8577		0.7715		3.3719			197.4581	187.2782	Salida
187.2782		1		-------		-------		-------		-------			197.4581	189.9723	Salida
189.9723		0		-------		-------		-------		-------			197.4581	-------		Llegada
197.4581		1		0.0866		36.7041		0.1742		22.7209			234.1622	220.1790	Salida
220.1790		0		-------		-------		-------		-------			234.1622	-------		Llegada
234.1622		1		0.9993		0.0111		0.9843		0.2060			234.1733	234.3681	Llegada
234.1733		2		0.1955		24.4799		0.9490		0.6807			258.6532	234.3681	Salida
234.3681		1		-------		-------		-------		-------			258.6532	234.8540	Salida
234.8540		0		-------		-------		-------		-------			258.6532	-------		Llegada
258.6532		1		0.4389		12.3508		0.1685		23.1498			271.0040	281.8029	Llegada
271.0040		2		0.6593		6.2496		0.4547		10.2459			277.2536	281.2499	Llegada
277.2536		3		0.8025		3.3010		0.2100		20.2913			280.5546	281.2499	Llegada
280.5546		4		0.9017		1.5517		0.5295		8.2664			282.1063	281.2499	Salida
281.2499		3		-------		-------		-------		-------			282.1063	281.8029	Salida
281.8029		2		-------		-------		-------		-------			282.1063	288.8210	Llegada
282.1063		3		0.6756		5.8825		0.5812		7.0537			287.9888	288.8210	Llegada
287.9888		4		0.6539		6.3721		0.2623		17.3995			294.3609	288.8210	Salida
288.8210		3		-------		-------		-------		-------			294.3609	289.1600	Salida
289.1600		2		-------		-------		-------		-------			294.3609	297.5449	Llegada
294.3609		3		0.4918		10.6451		0.6167		6.2831			305.0060	297.5449	Salida
297.5449		2		-------		-------		-------		-------			305.0060	300.6439	Salida
