SIMULACION PARA EL MODELO - REPLICA #1

Tiempo_t		N(t)	r_llegada	ste_llegas	r_servicio 	st_servicio		s_llegada	s_salida	s_evento
0.0000			0		0.7355		3.0723		-------		-------			3.0723		-------		Llegada
3.0723			1		0.4090		8.9410		0.3422		5.3614			12.0132		8.4337		Salida
8.4337			0		-------		-------		-------		-------			12.0132		-------		Llegada
12.0132			1		0.4806		7.3265		0.5181		3.2884			19.3397		15.3016		Salida
15.3016			0		-------		-------		-------		-------			19.3397		-------		Llegada
19.3397			1		0.9961		0.0387		0.6405		2.2274			19.3784		21.5672		Llegada
19.3784			2		0.1367		19.9019		0.4906		3.5607			39.2804		21.5672		Salida
21.5672			1		-------		-------		-------		-------			39.2804		22.9391		Salida
22.9391			0		-------		-------		-------		-------			39.2804		-------		Llegada
39.2804			1		0.2112		15.5506		0.9324		0.3502			54.8310		39.6305		Salida
39.6305			0		-------		-------		-------		-------			54.8310		-------		Llegada
54.8310			1		0.0441		31.2092		0.4585		3.8988			86.0402		58.7298		Salida
58.7298			0		-------		-------		-------		-------			86.0402		-------		Llegada
86.0402			1		0.8530		1.5897		0.1956		8.1596			87.6298		94.1998		Llegada
87.6298			2		0.4474		8.0421		0.1910		8.2787			95.6719		94.1998		Salida
94.1998			1		-------		-------		-------		-------			95.6719		95.9085		Llegada
95.6719			2		0.9121		0.9199		0.2547		6.8374			96.5918		95.9085		Salida
95.9085			1		-------		-------		-------		-------			96.5918		102.5094		Llegada
96.5918			2		0.9893		0.1079		0.8300		0.9316			96.6997		97.5234		Llegada
96.6997			3		0.7816		2.4647		0.6225		2.3697			99.1643		97.5234		Salida
97.5234			2		-------		-------		-------		-------			99.1643		99.0694		Salida
99.0694			1		-------		-------		-------		-------			99.1643		102.5094		Llegada
99.1643			2		0.7823		2.4547		0.2048		7.9276			101.6191	102.5094	Llegada
101.6191		3		0.8835		1.2386		0.7381		1.5182			102.8577	102.5094	Salida
102.5094		2		-------		-------		-------		-------			102.8577	103.1373	Llegada
102.8577		3		0.4166		8.7560		0.3027		5.9753			111.6137	103.1373	Salida
103.1373		2		-------		-------		-------		-------			111.6137	107.0920	Salida
107.0920		1		-------		-------		-------		-------			111.6137	108.8329	Salida
108.8329		0		-------		-------		-------		-------			111.6137	-------		Llegada
111.6137		1		0.1140		21.7136		0.2788		6.3868			133.3273	118.0004	Salida
118.0004		0		-------		-------		-------		-------			133.3273	-------		Llegada
133.3273		1		0.0382		32.6561		0.5230		3.2409			165.9835	136.5682	Salida
136.5682		0		-------		-------		-------		-------			165.9835	-------		Llegada
165.9835		1		0.6210		4.7643		0.5188		3.2811			170.7477	169.2646	Salida
169.2646		0		-------		-------		-------		-------			170.7477	-------		Llegada
170.7477		1		0.0411		31.9291		0.6171		2.4133			202.6768	173.1611	Salida
173.1611		0		-------		-------		-------		-------			202.6768	-------		Llegada
202.6768		1		0.1593		18.3684		0.1777		8.6377			221.0452	211.3145	Salida
211.3145		0		-------		-------		-------		-------			221.0452	-------		Llegada
221.0452		1		0.1077		22.2812		0.3705		4.9646			243.3265	226.0098	Salida
226.0098		0		-------		-------		-------		-------			243.3265	-------		Llegada
243.3265		1		0.1101		22.0650		0.1518		9.4244			265.3914	252.7509	Salida
252.7509		0		-------		-------		-------		-------			265.3914	-------		Llegada
265.3914		1		0.8290		1.8752		0.9631		0.1879			267.2667	265.5794	Salida
265.5794		0		-------		-------		-------		-------			267.2667	-------		Llegada
267.2667		1		0.3474		10.5728		0.2765		6.4286			277.8395	273.6953	Salida
273.6953		0		-------		-------		-------		-------			277.8395	-------		Llegada
277.8395		1		0.1541		18.7039		0.2595		6.7447			296.5434	284.5841	Salida
284.5841		0		-------		-------		-------		-------			296.5434	-------		Llegada
296.5434		1		0.5312		6.3262		0.1433		9.7128			302.8696	306.2562	Llegada
302.8696		2		0.0895		24.1316		0.3128		5.8117			327.0011	306.2562	Salida
306.2562		1		-------		-------		-------		-------			327.0011	308.6812	Salida
308.6812		0		-------		-------		-------		-------			327.0011	-------		Llegada
327.0011		1		0.7659		2.6674		0.8719		0.6856			329.6685	327.6867	Salida
327.6867		0		-------		-------		-------		-------			329.6685	-------		Llegada
329.6685		1		0.5176		6.5856		0.6494		2.1587			336.2541	331.8272	Salida
331.8272		0		-------		-------		-------		-------			336.2541	-------		Llegada
336.2541		1		0.6100		4.9431		0.9342		0.3403			341.1972	336.5944	Salida
336.5944		0		-------		-------		-------		-------			341.1972	-------		Llegada
341.1972		1		0.9521		0.4912		0.7240		1.6147			341.6884	342.8119	Llegada
341.6884		2		0.2130		15.4655		0.9902		0.0490			357.1539	341.7374	Salida
341.7374		1		-------		-------		-------		-------			357.1539	342.8119	Salida
342.8119		0		-------		-------		-------		-------			357.1539	-------		Llegada
357.1539		1		0.2470		13.9831		0.8340		0.9077			371.1370	358.0617	Salida
358.0617		0		-------		-------		-------		-------			371.1370	-------		Llegada
371.1370		1		0.5090		6.7522		0.2881		6.2228			377.8892	377.3598	Salida
377.3598		0		-------		-------		-------		-------			377.8892	-------		Llegada
377.8892		1		0.4511		7.9604		0.6684		2.0146			385.8495	379.9038	Salida
379.9038		0		-------		-------		-------		-------			385.8495	-------		Llegada
385.8495		1		0.4658		7.6403		0.5588		2.9094			393.4898	388.7590	Salida
388.7590		0		-------		-------		-------		-------			393.4898	-------		Llegada
393.4898		1		0.0389		32.4772		0.5759		2.7593			425.9670	396.2491	Salida
396.2491		0		-------		-------		-------		-------			425.9670	-------		Llegada
425.9670		1		0.7107		3.4152		0.8679		0.7085			429.3822	426.6756	Salida
426.6756		0		-------		-------		-------		-------			429.3822	-------		Llegada
429.3822		1		0.5390		6.1807		0.0581		14.2287			435.5629	443.6109	Llegada
435.5629		2		0.1443		19.3569		0.6930		1.8333			454.9197	437.3962	Salida
437.3962		1		-------		-------		-------		-------			454.9197	443.6109	Salida
443.6109		0		-------		-------		-------		-------			454.9197	-------		Llegada
454.9197		1		0.3176		11.4694		0.6755		1.9613			466.3891	456.8811	Salida
456.8811		0		-------		-------		-------		-------			466.3891	-------		Llegada
466.3891		1		0.8364		1.7867		0.4071		4.4930			468.1758	470.8821	Llegada
468.1758		2		0.9883		0.1179		0.6023		2.5354			468.2937	470.7111	Llegada
468.2937		3		0.2790		12.7652		0.5059		3.4073			481.0589	470.7111	Salida
470.7111		2		-------		-------		-------		-------			481.0589	470.8821	Salida
470.8821		1		-------		-------		-------		-------			481.0589	471.7010	Salida
471.7010		0		-------		-------		-------		-------			481.0589	-------		Llegada
481.0589		1		0.2516		13.7978		0.8890		0.5883			494.8567	481.6472	Salida
481.6472		0		-------		-------		-------		-------			494.8567	-------		Llegada
494.8567		1		0.4401		8.2080		0.2037		7.9556			503.0647	502.8123	Salida
502.8123		0		-------		-------		-------		-------			503.0647	-------		Llegada
503.0647		1		0.6130		4.8936		0.6531		2.1304			507.9583	505.1951	Salida
505.1951		0		-------		-------		-------		-------			507.9583	-------		Llegada
507.9583		1		0.1939		16.4022		0.8600		0.7539			524.3605	508.7122	Salida
508.7122		0		-------		-------		-------		-------			524.3605	-------		Llegada
524.3605		1		0.4870		7.1941		0.7030		1.7621			531.5546	526.1226	Salida
526.1226		0		-------		-------		-------		-------			531.5546	-------		Llegada
531.5546		1		0.1481		19.0988		0.9382		0.3192			550.6534	531.8738	Salida
531.8738		0		-------		-------		-------		-------			550.6534	-------		Llegada
550.6534		1		0.3713		9.9061		0.6139		2.4397			560.5595	553.0931	Salida
553.0931		0		-------		-------		-------		-------			560.5595	-------		Llegada
560.5595		1		0.4970		6.9917		0.4102		4.4554			567.5512	565.0149	Salida
565.0149		0		-------		-------		-------		-------			567.5512	-------		Llegada
567.5512		1		0.1898		16.6200		0.2077		7.8586			584.1712	575.4097	Salida
575.4097		0		-------		-------		-------		-------			584.1712	-------		Llegada
584.1712		1		0.2781		12.7983		0.7287		1.5822			596.9694	585.7533	Salida
585.7533		0		-------		-------		-------		-------			596.9694	-------		Llegada
596.9694		1		0.2658		13.2509		0.4224		4.3089			610.2203	601.2783	Salida
601.2783		0		-------		-------		-------		-------			610.2203	-------		Llegada
610.2203		1		0.4218		8.6324		0.5834		2.6945			618.8527	612.9148	Salida
612.9148		0		-------		-------		-------		-------			618.8527	-------		Llegada
618.8527		1		0.0979		23.2346		0.2582		6.7706			642.0874	625.6233	Salida
625.6233		0		-------		-------		-------		-------			642.0874	-------		Llegada
642.0874		1		0.9905		0.0952		0.0862		12.2547			642.1825	654.3421	Llegada
642.1825		2		0.8604		1.5032		0.2695		6.5553			643.6857	648.7378	Llegada
643.6857		3		0.5921		5.2410		0.1121		10.9433			648.9267	648.7378	Salida
648.7378		2		-------		-------		-------		-------			648.9267	654.3421	Llegada
648.9267		3		0.1585		18.4177		0.0322		17.1841			667.3444	654.3421	Salida
654.3421		2		-------		-------		-------		-------			667.3444	654.6290	Salida
654.6290		1		-------		-------		-------		-------			667.3444	666.1109	Salida
666.1109		0		-------		-------		-------		-------			667.3444	-------		Llegada
667.3444		1		0.3158		11.5275		0.7716		1.2967			678.8720	668.6412	Salida
668.6412		0		-------		-------		-------		-------			678.8720	-------		Llegada
678.8720		1		0.6852		3.7800		0.5097		3.3696			682.6520	682.2416	Salida
682.2416		0		-------		-------		-------		-------			682.6520	-------		Llegada
682.6520		1		0.6316		4.5952		0.1723		8.7935			687.2472	691.4455	Llegada
687.2472		2		0.2127		15.4794		0.7797		1.2443			702.7266	688.4915	Salida
688.4915		1		-------		-------		-------		-------			702.7266	691.4455	Salida
691.4455		0		-------		-------		-------		-------			702.7266	-------		Llegada
702.7266		1		0.1104		22.0344		0.5840		2.6890			724.7610	705.4156	Salida
705.4156		0		-------		-------		-------		-------			724.7610	-------		Llegada
724.7610		1		0.3936		9.3249		0.6074		2.4927			734.0859	727.2536	Salida
727.2536		0		-------		-------		-------		-------			734.0859	-------		Llegada
734.0859		1		0.9942		0.0577		0.5833		2.6950			734.1436	736.7809	Llegada
734.1436		2		0.8151		2.0443		0.2723		6.5037			736.1879	736.7809	Llegada
736.1879		3		0.3121		11.6451		0.0809		12.5733			747.8331	736.7809	Salida
736.7809		2		-------		-------		-------		-------			747.8331	740.6473	Salida
740.6473		1		-------		-------		-------		-------			747.8331	748.7612	Llegada
747.8331		2		0.6947		3.6421		0.7339		1.5471			751.4752	748.7612	Salida
748.7612		1		-------		-------		-------		-------			751.4752	749.3802	Salida
749.3802		0		-------		-------		-------		-------			751.4752	-------		Llegada
751.4752		1		0.6643		4.0905		0.7927		1.1617			755.5657	752.6369	Salida
752.6369		0		-------		-------		-------		-------			755.5657	-------		Llegada
755.5657		1		0.9920		0.0799		0.6548		2.1171			755.6456	757.6828	Llegada
755.6456		2		0.8789		1.2910		0.8525		0.7981			756.9366	756.4437	Salida
756.4437		1		-------		-------		-------		-------			756.9366	757.6828	Llegada
756.9366		2		0.9243		0.7867		0.4710		3.7648			757.7233	757.6828	Salida
757.6828		1		-------		-------		-------		-------			757.7233	760.7013	Llegada
757.7233		2		0.9645		0.3610		0.0829		12.4517			758.0843	760.7013	Llegada
758.0843		3		0.5031		6.8689		0.2803		6.3593			764.9531	760.7013	Salida
760.7013		2		-------		-------		-------		-------			764.9531	764.4436	Salida
764.4436		1		-------		-------		-------		-------			764.9531	770.1750	Llegada
764.9531		2		0.8544		1.5731		0.1884		8.3468			766.5263	770.1750	Llegada
766.5263		3		0.7900		2.3571		0.4860		3.6075			768.8833	770.1338	Llegada
768.8833		4		0.3606		10.1988		0.0027		29.5764			779.0822	770.1338	Salida
770.1338		3		-------		-------		-------		-------			779.0822	770.1750	Salida
770.1750		2		-------		-------		-------		-------			779.0822	773.2999	Salida
773.2999		1		-------		-------		-------		-------			779.0822	798.4598	Llegada
779.0822		2		0.2657		13.2536		0.4711		3.7638			792.3358	782.8460	Salida
782.8460		1		-------		-------		-------		-------			792.3358	798.4598	Llegada
792.3358		2		0.5867		5.3319		0.6593		2.0831			797.6676	794.4188	Salida
794.4188		1		-------		-------		-------		-------			797.6676	798.4598	Llegada
797.6676		2		0.0785		25.4489		0.5810		2.7152			823.1165	798.4598	Salida
