SIMULACION PARA EL MODELO - REPLICA #1

Tiempo_t	N(t)	r_llegada	ste_llegas	r_servicio 	st_servicio	s_llegada	s_salida	s_evento
0.0000	0	0.2009	16.0486	-------	-------	16.0486	-------	Llegada
16.0486	1	0.6053	5.0202	0.2692	6.5620	21.0688	22.6105	Llegada
21.0688	2	0.9735	0.2684	0.0205	19.4352	21.3372	22.6105	Llegada
21.3372	3	0.4551	7.8723	0.9045	0.5016	29.2095	21.8388	Salida
21.8388	2	-------	-------	-------	-------	29.2095	22.6105	Salida
22.6105	1	-------	-------	-------	-------	29.2095	40.5039	Llegada
29.2095	2	0.5332	6.2880	0.8787	0.6465	35.4974	29.8560	Salida
29.8560	1	-------	-------	-------	-------	35.4974	40.5039	Llegada
35.4974	2	0.2279	14.7886	0.7679	1.3205	50.2860	36.8179	Salida
36.8179	1	-------	-------	-------	-------	50.2860	40.5039	Salida
40.5039	0	-------	-------	-------	-------	50.2860	-------	Llegada
50.2860	1	0.3837	9.5790	0.1761	8.6831	59.8650	58.9691	Salida
58.9691	0	-------	-------	-------	-------	59.8650	-------	Llegada
59.8650	1	0.8253	1.9205	0.6132	2.4451	61.7855	62.3101	Llegada
61.7855	2	0.6490	4.3237	0.6916	1.8435	66.1092	62.3101	Salida
62.3101	1	-------	-------	-------	-------	66.1092	63.6289	Salida
63.6289	0	-------	-------	-------	-------	66.1092	-------	Llegada
66.1092	1	0.9913	0.0876	0.1667	8.9591	66.1968	75.0683	Llegada
66.1968	2	0.4209	8.6526	0.3673	5.0081	74.8493	71.2049	Salida
71.2049	1	-------	-------	-------	-------	74.8493	75.0683	Llegada
74.8493	2	0.7373	3.0470	0.8217	0.9822	77.8963	75.0683	Salida
75.0683	1	-------	-------	-------	-------	77.8963	75.8315	Salida
75.8315	0	-------	-------	-------	-------	77.8963	-------	Llegada
77.8963	1	0.0760	25.7718	0.6934	1.8310	103.6681	79.7273	Salida
79.7273	0	-------	-------	-------	-------	103.6681	-------	Llegada
103.6681	1	0.7873	2.3909	0.0437	15.6517	106.0590	119.3198	Llegada
106.0590	2	0.5651	5.7077	0.4256	4.2707	111.7667	110.3297	Salida
110.3297	1	-------	-------	-------	-------	111.7667	119.3198	Llegada
111.7667	2	0.6743	3.9414	0.5527	2.9650	115.7081	114.7317	Salida
114.7317	1	-------	-------	-------	-------	115.7081	119.3198	Llegada
115.7081	2	0.6266	4.6750	0.2796	6.3726	120.3831	119.3198	Salida
119.3198	1	-------	-------	-------	-------	120.3831	122.0807	Llegada
120.3831	2	0.8218	1.9621	0.6001	2.5535	122.3452	122.0807	Salida
122.0807	1	-------	-------	-------	-------	122.3452	122.9366	Llegada
122.3452	2	0.3001	12.0374	0.2769	6.4197	134.3826	122.9366	Salida
122.9366	1	-------	-------	-------	-------	134.3826	128.7649	Salida
128.7649	0	-------	-------	-------	-------	134.3826	-------	Llegada
134.3826	1	0.5046	6.8395	0.8333	0.9118	141.2221	135.2944	Salida
135.2944	0	-------	-------	-------	-------	141.2221	-------	Llegada
141.2221	1	0.1556	18.6015	0.7325	1.5563	159.8237	142.7785	Salida
142.7785	0	-------	-------	-------	-------	159.8237	-------	Llegada
159.8237	1	0.6012	5.0883	0.5393	3.0870	164.9120	162.9107	Salida
162.9107	0	-------	-------	-------	-------	164.9120	-------	Llegada
164.9120	1	0.9086	0.9581	0.4265	4.2611	165.8702	169.1731	Llegada
165.8702	2	0.1526	18.8010	0.5576	2.9206	184.6711	168.7907	Salida
168.7907	1	-------	-------	-------	-------	184.6711	169.1731	Salida
169.1731	0	-------	-------	-------	-------	184.6711	-------	Llegada
184.6711	1	0.1181	21.3619	0.1439	9.6948	206.0330	194.3659	Salida
194.3659	0	-------	-------	-------	-------	206.0330	-------	Llegada
206.0330	1	0.7243	3.2261	0.5390	3.0897	209.2591	209.1227	Salida
209.1227	0	-------	-------	-------	-------	209.2591	-------	Llegada
209.2591	1	0.5111	6.7111	0.4616	3.8653	215.9702	213.1243	Salida
213.1243	0	-------	-------	-------	-------	215.9702	-------	Llegada
215.9702	1	0.3607	10.1969	0.5871	2.6626	226.1671	218.6328	Salida
218.6328	0	-------	-------	-------	-------	226.1671	-------	Llegada
226.1671	1	0.1550	18.6458	0.1481	9.5509	244.8129	235.7181	Salida
235.7181	0	-------	-------	-------	-------	244.8129	-------	Llegada
244.8129	1	0.6308	4.6072	0.7201	1.6421	249.4201	246.4551	Salida
246.4551	0	-------	-------	-------	-------	249.4201	-------	Llegada
249.4201	1	0.5737	5.5565	0.3051	5.9358	254.9766	255.3559	Llegada
254.9766	2	0.2727	12.9932	0.2003	8.0406	267.9698	255.3559	Salida
255.3559	1	-------	-------	-------	-------	267.9698	263.0172	Salida
263.0172	0	-------	-------	-------	-------	267.9698	-------	Llegada
267.9698	1	0.5847	5.3674	0.0946	11.7927	273.3372	279.7625	Llegada
273.3372	2	0.8003	2.2271	0.8847	0.6124	275.5643	273.9496	Salida
273.9496	1	-------	-------	-------	-------	275.5643	279.7625	Llegada
275.5643	2	0.3715	9.9020	0.3050	5.9378	285.4663	279.7625	Salida
279.7625	1	-------	-------	-------	-------	285.4663	281.5021	Salida
281.5021	0	-------	-------	-------	-------	285.4663	-------	Llegada
285.4663	1	0.7180	3.3125	0.5272	3.2013	288.7788	288.6677	Salida
288.6677	0	-------	-------	-------	-------	288.7788	-------	Llegada
288.7788	1	0.0375	32.8393	0.3192	5.7093	321.6182	294.4882	Salida
294.4882	0	-------	-------	-------	-------	321.6182	-------	Llegada
321.6182	1	0.0665	27.1059	0.9461	0.2770	348.7240	321.8951	Salida
321.8951	0	-------	-------	-------	-------	348.7240	-------	Llegada
348.7240	1	0.7457	2.9345	0.2191	7.5918	351.6585	356.3158	Llegada
351.6585	2	0.5037	6.8575	0.8638	0.7321	358.5160	352.3906	Salida
352.3906	1	-------	-------	-------	-------	358.5160	356.3158	Salida
356.3158	0	-------	-------	-------	-------	358.5160	-------	Llegada
358.5160	1	0.3629	10.1355	0.2280	7.3927	368.6515	365.9088	Salida
365.9088	0	-------	-------	-------	-------	368.6515	-------	Llegada
368.6515	1	0.4028	9.0921	0.8741	0.6730	377.7437	369.3245	Salida
369.3245	0	-------	-------	-------	-------	377.7437	-------	Llegada
377.7437	1	0.6896	3.7169	0.7635	1.3489	381.4605	379.0926	Salida
379.0926	0	-------	-------	-------	-------	381.4605	-------	Llegada
381.4605	1	0.4612	7.7393	0.8445	0.8449	389.1999	382.3054	Salida
382.3054	0	-------	-------	-------	-------	389.1999	-------	Llegada
389.1999	1	0.9116	0.9255	0.0920	11.9284	390.1254	401.1283	Llegada
390.1254	2	0.5646	5.7166	0.4853	3.6149	395.8421	393.7404	Salida
393.7404	1	-------	-------	-------	-------	395.8421	401.1283	Llegada
395.8421	2	0.3971	9.2354	0.8373	0.8878	405.0774	396.7299	Salida
396.7299	1	-------	-------	-------	-------	405.0774	401.1283	Salida
401.1283	0	-------	-------	-------	-------	405.0774	-------	Llegada
405.0774	1	0.6856	3.7751	0.9818	0.0920	408.8526	405.1694	Salida
405.1694	0	-------	-------	-------	-------	408.8526	-------	Llegada
408.8526	1	0.9319	0.7057	0.4859	3.6087	409.5583	412.4612	Llegada
409.5583	2	0.8665	1.4331	0.3034	5.9641	410.9914	412.4612	Llegada
410.9914	3	0.7909	2.3462	0.5845	2.6849	413.3376	412.4612	Salida
412.4612	2	-------	-------	-------	-------	413.3376	413.6763	Llegada
413.3376	3	0.8305	1.8571	0.8284	0.9416	415.1947	413.6763	Salida
413.6763	2	-------	-------	-------	-------	415.1947	414.2792	Salida
414.2792	1	-------	-------	-------	-------	415.1947	415.5224	Llegada
415.1947	2	0.9037	1.0122	0.8970	0.5434	416.2069	415.5224	Salida
415.5224	1	-------	-------	-------	-------	416.2069	415.7381	Salida
415.7381	0	-------	-------	-------	-------	416.2069	-------	Llegada
416.2069	1	0.7745	2.5558	0.6494	2.1584	418.7627	418.3653	Salida
418.3653	0	-------	-------	-------	-------	418.7627	-------	Llegada
418.7627	1	0.1161	21.5343	0.2782	6.3975	440.2971	425.1602	Salida
425.1602	0	-------	-------	-------	-------	440.2971	-------	Llegada
440.2971	1	0.5132	6.6707	0.4790	3.6801	446.9678	443.9772	Salida
443.9772	0	-------	-------	-------	-------	446.9678	-------	Llegada
446.9678	1	0.5061	6.8093	0.9161	0.4384	453.7771	447.4062	Salida
447.4062	0	-------	-------	-------	-------	453.7771	-------	Llegada
453.7771	1	0.3531	10.4106	0.1957	8.1554	464.1877	461.9325	Salida
461.9325	0	-------	-------	-------	-------	464.1877	-------	Llegada
464.1877	1	0.6796	3.8625	0.8143	1.0273	468.0503	465.2150	Salida
465.2150	0	-------	-------	-------	-------	468.0503	-------	Llegada
468.0503	1	0.0402	32.1267	0.5912	2.6280	500.1770	470.6783	Salida
470.6783	0	-------	-------	-------	-------	500.1770	-------	Llegada
500.1770	1	0.9063	0.9838	0.6048	2.5140	501.1608	502.6910	Llegada
501.1608	2	0.0765	25.7052	0.3034	5.9633	526.8660	502.6910	Salida
502.6910	1	-------	-------	-------	-------	526.8660	507.1241	Salida
507.1241	0	-------	-------	-------	-------	526.8660	-------	Llegada
526.8660	1	0.4421	8.1613	0.7621	1.3587	535.0274	528.2247	Salida
528.2247	0	-------	-------	-------	-------	535.0274	-------	Llegada
535.0274	1	0.2852	12.5465	0.3740	4.9175	547.5738	539.9449	Salida
539.9449	0	-------	-------	-------	-------	547.5738	-------	Llegada
547.5738	1	0.2480	13.9446	0.1517	9.4305	561.5184	557.0043	Salida
557.0043	0	-------	-------	-------	-------	561.5184	-------	Llegada
561.5184	1	0.6774	3.8955	0.0388	16.2417	565.4139	577.7601	Llegada
565.4139	2	0.7362	3.0629	0.5079	3.3876	568.4768	568.8015	Llegada
568.4768	3	0.8672	1.4250	0.6399	2.2322	569.9018	568.8015	Salida
568.8015	2	-------	-------	-------	-------	569.9018	570.7090	Llegada
569.9018	3	0.4049	9.0415	0.6417	2.2185	578.9432	570.7090	Salida
570.7090	2	-------	-------	-------	-------	578.9432	572.1203	Salida
572.1203	1	-------	-------	-------	-------	578.9432	577.7601	Salida
577.7601	0	-------	-------	-------	-------	578.9432	-------	Llegada
578.9432	1	0.2893	12.4022	0.5210	3.2603	591.3454	582.2035	Salida
582.2035	0	-------	-------	-------	-------	591.3454	-------	Llegada
591.3454	1	0.9198	0.8356	0.8025	1.0999	592.1810	592.4453	Llegada
592.1810	2	1.0000	0.0002	0.4260	4.2668	592.1812	592.4453	Llegada
592.1812	3	0.7186	3.3047	0.3531	5.2055	595.4859	592.4453	Salida
592.4453	2	-------	-------	-------	-------	595.4859	596.4479	Llegada
595.4859	3	0.6217	4.7531	0.3982	4.6042	600.2390	596.4479	Salida
596.4479	2	-------	-------	-------	-------	600.2390	597.3867	Salida
597.3867	1	-------	-------	-------	-------	600.2390	600.0902	Salida
600.0902	0	-------	-------	-------	-------	600.2390	-------	Llegada
600.2390	1	0.1673	17.8773	0.6619	2.0629	618.1163	602.3019	Salida
602.3019	0	-------	-------	-------	-------	618.1163	-------	Llegada
618.1163	1	0.9894	0.1068	0.0736	13.0428	618.2231	631.1591	Llegada
618.2231	2	0.2668	13.2134	0.0659	13.6001	631.4365	631.1591	Salida
631.1591	1	-------	-------	-------	-------	631.4365	631.8232	Llegada
631.4365	2	0.3771	9.7537	0.7089	1.7201	641.1902	631.8232	Salida
631.8232	1	-------	-------	-------	-------	641.1902	633.1566	Salida
633.1566	0	-------	-------	-------	-------	641.1902	-------	Llegada
641.1902	1	0.8279	1.8882	0.6622	2.0607	643.0784	643.2509	Llegada
643.0784	2	0.0829	24.8994	0.0759	12.8917	667.9778	643.2509	Salida
643.2509	1	-------	-------	-------	-------	667.9778	655.9701	Salida
655.9701	0	-------	-------	-------	-------	667.9778	-------	Llegada
667.9778	1	0.8139	2.0593	0.7603	1.3704	670.0371	669.3482	Salida
669.3482	0	-------	-------	-------	-------	670.0371	-------	Llegada
670.0371	1	0.1147	21.6510	0.5501	2.9886	691.6881	673.0257	Salida
673.0257	0	-------	-------	-------	-------	691.6881	-------	Llegada
